Article ID number,filename,Did the article receive a badge for open data?,Does the article state whether or 0t the data are available?,Did the article receive a badge for open materials?,Does the article state whether or 0t any research materials are available?,,,,,,,,,,,,,,,,1-4-2013 CPS,Clinical_Psychological_Science.2013.April.1-4-2013_CPS.txt
18-1-2013 PS,Psychological_Science.2013.January.18-1-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,5-1-2014 CPS,Clinical_Psychological_Science.2014.January.5-1-2014_CPS.txt
5-12-2013 PS,Psychological_Science.2013.December.5-12-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,6-1-2014 CPS,Clinical_Psychological_Science.2014.January.6-1-2014_CPS.txt
8-12-2013 PS,Psychological_Science.2013.December.8-12-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,7-1-2014 CPS,Clinical_Psychological_Science.2014.January.7-1-2014_CPS.txt
10-12-2013 PS,Psychological_Science.2013.December.10-12-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,8-1-2014 CPS,Clinical_Psychological_Science.2014.January.8-1-2014_CPS.txt
15-12-2013 PS,Psychological_Science.2013.December.15-12-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,9-1-2014 CPS,Clinical_Psychological_Science.2014.January.9-1-2014_CPS.txt
18-12-2013 PS,Psychological_Science.2013.December.18-12-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,1-7-2014 CPS,Clinical_Psychological_Science.2014.July.1-7-2014_CPS.txt
20-12-2013 PS,Psychological_Science.2013.December.20-12-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,2-7-2014 CPS,Clinical_Psychological_Science.2014.July.2-7-2014_CPS.txt
25-12-2013 PS,Psychological_Science.2013.December.25-12-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,3-7-2014 CPS,Clinical_Psychological_Science.2014.July.3-7-2014_CPS.txt
1-3-2015 PS,Psychological_Science.2015.March.1-3-2015_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,4-7-2014 CPS,Clinical_Psychological_Science.2014.July.4-7-2014_CPS.txt
2-3-2015 PS,Psychological_Science.2015.March.2-3-2015_PS.txt,0,0,0,1,,,,,,,,,,,,,,,,5-7-2014 CPS,Clinical_Psychological_Science.2014.July.5-7-2014_CPS.txt
3-3-2015 PS,Psychological_Science.2015.March.3-3-2015_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,6-7-2014 CPS,Clinical_Psychological_Science.2014.July.6-7-2014_CPS.txt
4-3-2015 PS,Psychological_Science.2015.March.4-3-2015_PS.txt,0,1,0,1,,,,,,,,,,,,,,,,7-7-2014 CPS,Clinical_Psychological_Science.2014.July.7-7-2014_CPS.txt
5-3-2015 PS,Psychological_Science.2015.March.5-3-2015_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,8-7-2014 CPS,Clinical_Psychological_Science.2014.July.8-7-2014_CPS.txt
6-3-2015 PS,Psychological_Science.2015.March.6-3-2015_PS.txt,1,1,0,0,,,,,,,,,,,,,,,,9-7-2014 CPS,Clinical_Psychological_Science.2014.July.9-7-2014_CPS.txt
7-3-2015 PS,Psychological_Science.2015.March.7-3-2015_PS.txt,1,1,1,1,,,,,,,,,,,,,,,,1-3-2014 CPS,Clinical_Psychological_Science.2014.March.1-3-2014_CPS.txt
8-3-2015 PS,Psychological_Science.2015.March.8-3-2015_PS.txt,0,0,0,1,,,,,,,,,,,,,,,,2-3-2014 CPS,Clinical_Psychological_Science.2014.March.2-3-2014_CPS.txt
9-3-2015 PS,Psychological_Science.2015.March.9-3-2015_PS.txt,0,0,0,1,,,,,,,,,,,,,,,,3-3-2014 CPS,Clinical_Psychological_Science.2014.March.3-3-2014_CPS.txt
2-4-2015 PS,Psychological_Science.2015.April.2-4-2015_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,4-3-2014 CPS,Clinical_Psychological_Science.2014.March.4-3-2014_CPS.txt
3-4-2015 PS,Psychological_Science.2015.April.3-4-2015_PS.txt,1,1,0,0,,,,,,,,,,,,,,,,5-3-2014 CPS,Clinical_Psychological_Science.2014.March.5-3-2014_CPS.txt
10-3-2015 PS,Psychological_Science.2015.March.10-3-2015_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,6-3-2014 CPS,Clinical_Psychological_Science.2014.March.6-3-2014_CPS.txt
11-3-2015 PS,Psychological_Science.2015.March.11-3-2015_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,7-3-2014 CPS,Clinical_Psychological_Science.2014.March.7-3-2014_CPS.txt
12-3-2015 PS,Psychological_Science.2015.March.12-3-2015_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,8-3-2014 CPS,Clinical_Psychological_Science.2014.March.8-3-2014_CPS.txt
4-4-2015 PS,Psychological_Science.2015.April.4-4-2015_PS.txt,0,0,0,1,,,,,,,,,,,,,,,,9-3-2014 CPS,Clinical_Psychological_Science.2014.March.9-3-2014_CPS.txt
6-4-2015 PS,Psychological_Science.2015.April.6-4-2015_PS.txt,1,1,1,1,,,,,,,,,,,,,,,,1-5-2014 CPS,Clinical_Psychological_Science.2014.May.1-5-2014_CPS.txt
7-4-2015 PS,Psychological_Science.2015.April.7-4-2015_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,10-5-2014 CPS,Clinical_Psychological_Science.2014.May.10-5-2014_CPS.txt
9-4-2015 PS,Psychological_Science.2015.April.9-4-2015_PS.txt,0,1,0,0,,,,,,,,,,,,,,,,11-5-2014 CPS,Clinical_Psychological_Science.2014.May.11-5-2014_CPS.txt
11-4-2015 PS,Psychological_Science.2015.April.11-4-2015_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,2-5-2014 CPS,Clinical_Psychological_Science.2014.May.2-5-2014_CPS.txt
12-4-2015 PS,Psychological_Science.2015.April.12-4-2015_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,3-5-2014 CPS,Clinical_Psychological_Science.2014.May.3-5-2014_CPS.txt
13-4-2015 PS,Psychological_Science.2015.April.13-4-2015_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,4-5-2014 CPS,Clinical_Psychological_Science.2014.May.4-5-2014_CPS.txt
14-4-2015 PS,Psychological_Science.2015.April.14-4-2015_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,5-5-2014 CPS,Clinical_Psychological_Science.2014.May.5-5-2014_CPS.txt
16-4-2015 PS,Psychological_Science.2015.April.16-4-2015_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,6-5-2014 CPS,Clinical_Psychological_Science.2014.May.6-5-2014_CPS.txt
1-8-2014 PS,Psychological_Science.2014.August.1-8-2014_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,7-5-2014 CPS,Clinical_Psychological_Science.2014.May.7-5-2014_CPS.txt
17-4-2015 PS,Psychological_Science.2015.April.17-4-2015_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,8-5-2014 CPS,Clinical_Psychological_Science.2014.May.8-5-2014_CPS.txt
19-4-2015 PS,Psychological_Science.2015.April.19-4-2015_PS.txt,1,1,0,0,,,,,,,,,,,,,,,,9-5-2014 CPS,Clinical_Psychological_Science.2014.May.9-5-2014_CPS.txt
21-4-2015 PS,Psychological_Science.2015.April.21-4-2015_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,1-11-2014 CPS,Clinical_Psychological_Science.2014.0vember.1-11-2014_CPS.txt
22-4-2015 PS,Psychological_Science.2015.April.22-4-2015_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,10-11-2014 CPS,Clinical_Psychological_Science.2014.0vember.10-11-2014_CPS.txt
23-4-2015 PS,Psychological_Science.2015.April.23-4-2015_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,11-11-2014 CPS,Clinical_Psychological_Science.2014.0vember.11-11-2014_CPS.txt
24-4-2015 PS,Psychological_Science.2015.April.24-4-2015_PS.txt,0,0,1,1,,,,,,,,,,,,,,,,2-11-2014 CPS,Clinical_Psychological_Science.2014.0vember.2-11-2014_CPS.txt
2-8-2014 PS,Psychological_Science.2014.August.2-8-2014_PS.txt,0,0,0,1,,,,,,,,,,,,,,,,3-11-2014 CPS,Clinical_Psychological_Science.2014.0vember.3-11-2014_CPS.txt
3-8-2014 PS,Psychological_Science.2014.August.3-8-2014_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,4-11-2014 CPS,Clinical_Psychological_Science.2014.0vember.4-11-2014_CPS.txt
4-8-2014 PS,Psychological_Science.2014.August.4-8-2014_PS.txt,0,0,1,1,,,,,,,,,,,,,,,,5-11-2014 CPS,Clinical_Psychological_Science.2014.0vember.5-11-2014_CPS.txt
5-8-2014 PS,Psychological_Science.2014.August.5-8-2014_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,6-11-2014 CPS,Clinical_Psychological_Science.2014.0vember.6-11-2014_CPS.txt
6-8-2014 PS,Psychological_Science.2014.August.6-8-2014_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,7-11-2014 CPS,Clinical_Psychological_Science.2014.0vember.7-11-2014_CPS.txt
7-8-2014 PS,Psychological_Science.2014.August.7-8-2014_PS.txt,0,0,1,1,,,,,,,,,,,,,,,,8-11-2014 CPS,Clinical_Psychological_Science.2014.0vember.8-11-2014_CPS.txt
8-8-2014 PS,Psychological_Science.2014.August.8-8-2014_PS.txt,1,1,1,1,,,,,,,,,,,,,,,,9-11-2014 CPS,Clinical_Psychological_Science.2014.0vember.9-11-2014_CPS.txt
9-8-2014 PS,Psychological_Science.2014.August.9-8-2014_PS.txt,0,1,1,1,,,,,,,,,,,,,,,,1-9-2014 CPS,Clinical_Psychological_Science.2014.September.1-9-2014_CPS.txt
1-5-2012 PS,Psychological_Science.2012.May.1-5-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,10-9-2014 CPS,Clinical_Psychological_Science.2014.September.10-9-2014_CPS.txt
10-8-2014 PS,Psychological_Science.2014.August.10-8-2014_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,2-9-2014 CPS,Clinical_Psychological_Science.2014.September.2-9-2014_CPS.txt
5-3-2012 PS,Psychological_Science.2012.March.5-3-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,3-9-2014 CPS,Clinical_Psychological_Science.2014.September.3-9-2014_CPS.txt
2-5-2012 PS,Psychological_Science.2012.May.2-5-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,4-9-2014 CPS,Clinical_Psychological_Science.2014.September.4-9-2014_CPS.txt
11-8-2014 PS,Psychological_Science.2014.August.11-8-2014_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,5-9-2014 CPS,Clinical_Psychological_Science.2014.September.5-9-2014_CPS.txt
2-1-2013 PS,Psychological_Science.2013.January.2-1-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,6-9-2014 CPS,Clinical_Psychological_Science.2014.September.6-9-2014_CPS.txt
3-1-2013 PS,Psychological_Science.2013.January.3-1-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,7-9-2014 CPS,Clinical_Psychological_Science.2014.September.7-9-2014_CPS.txt
4-1-2013 PS,Psychological_Science.2013.January.4-1-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,8-9-2014 CPS,Clinical_Psychological_Science.2014.September.8-9-2014_CPS.txt
6-1-2013 PS,Psychological_Science.2013.January.6-1-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,9-9-2014 CPS,Clinical_Psychological_Science.2014.September.9-9-2014_CPS.txt
7-1-2013 PS,Psychological_Science.2013.January.7-1-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,1-1-2015 CPS,Clinical_Psychological_Science.2015.January.1-1-2015_CPS.txt
9-1-2013 PS,Psychological_Science.2013.January.9-1-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,10-1-2015 CPS,Clinical_Psychological_Science.2015.January.10-1-2015_CPS.txt
11-1-2013 PS,Psychological_Science.2013.January.11-1-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,11-1-2015 CPS,Clinical_Psychological_Science.2015.January.11-1-2015_CPS.txt
12-1-2013 PS,Psychological_Science.2013.January.12-1-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,12-1-2015 CPS,Clinical_Psychological_Science.2015.January.12-1-2015_CPS.txt
13-1-2013 PS,Psychological_Science.2013.January.13-1-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,2-1-2015 CPS,Clinical_Psychological_Science.2015.January.2-1-2015_CPS.txt
14-1-2013 PS,Psychological_Science.2013.January.14-1-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,3-1-2015 CPS,Clinical_Psychological_Science.2015.January.3-1-2015_CPS.txt
16-1-2013 PS,Psychological_Science.2013.January.16-1-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,4-1-2015 CPS,Clinical_Psychological_Science.2015.January.4-1-2015_CPS.txt
17-1-2013 PS,Psychological_Science.2013.January.17-1-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,5-1-2015 CPS,Clinical_Psychological_Science.2015.January.5-1-2015_CPS.txt
12-8-2014 PS,Psychological_Science.2014.August.12-8-2014_PS.txt,1,1,0,1,,,,,,,,,,,,,,,,6-1-2015 CPS,Clinical_Psychological_Science.2015.January.6-1-2015_CPS.txt
13-8-2014 PS,Psychological_Science.2014.August.13-8-2014_PS.txt,0,0,1,1,,,,,,,,,,,,,,,,7-1-2015 CPS,Clinical_Psychological_Science.2015.January.7-1-2015_CPS.txt
14-8-2014 PS,Psychological_Science.2014.August.14-8-2014_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,8-1-2015 CPS,Clinical_Psychological_Science.2015.January.8-1-2015_CPS.txt
15-8-2014 PS,Psychological_Science.2014.August.15-8-2014_PS.txt,0,0,0,1,,,,,,,,,,,,,,,,9-1-2015 CPS,Clinical_Psychological_Science.2015.January.9-1-2015_CPS.txt
16-8-2014 PS,Psychological_Science.2014.August.16-8-2014_PS.txt,1,1,1,1,,,,,,,,,,,,,,,,1-3-2015 CPS,Clinical_Psychological_Science.2015.March.1-3-2015_CPS.txt
1-8-2012 PS,Psychological_Science.2012.August.1-8-2012_PS.txt,0,1,0,0,,,,,,,,,,,,,,,,10-3-2015 CPS,Clinical_Psychological_Science.2015.March.10-3-2015_CPS.txt
2-8-2012 PS,Psychological_Science.2012.August.2-8-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,11-3-2015 CPS,Clinical_Psychological_Science.2015.March.11-3-2015_CPS.txt
3-8-2012 PS,Psychological_Science.2012.August.3-8-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,12-3-2015 CPS,Clinical_Psychological_Science.2015.March.12-3-2015_CPS.txt
4-8-2012 PS,Psychological_Science.2012.August.4-8-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,13-3-2015 CPS,Clinical_Psychological_Science.2015.March.13-3-2015_CPS.txt
5-8-2012 PS,Psychological_Science.2012.August.5-8-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,2-3-2015 CPS,Clinical_Psychological_Science.2015.March.2-3-2015_CPS.txt
6-8-2012 PS,Psychological_Science.2012.August.6-8-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,3-3-2015 CPS,Clinical_Psychological_Science.2015.March.3-3-2015_CPS.txt
7-8-2012 PS,Psychological_Science.2012.August.7-8-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,4-3-2015 CPS,Clinical_Psychological_Science.2015.March.4-3-2015_CPS.txt
8-8-2012 PS,Psychological_Science.2012.August.8-8-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,5-3-2015 CPS,Clinical_Psychological_Science.2015.March.5-3-2015_CPS.txt
9-8-2012 PS,Psychological_Science.2012.August.9-8-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,6-3-2015 CPS,Clinical_Psychological_Science.2015.March.6-3-2015_CPS.txt
10-8-2012 PS,Psychological_Science.2012.August.10-8-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,7-3-2015 CPS,Clinical_Psychological_Science.2015.March.7-3-2015_CPS.txt
11-8-2012 PS,Psychological_Science.2012.August.11-8-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,8-3-2015 CPS,Clinical_Psychological_Science.2015.March.8-3-2015_CPS.txt
2-12-2013 PS,Psychological_Science.2013.December.2-12-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,9-3-2015 CPS,Clinical_Psychological_Science.2015.March.9-3-2015_CPS.txt
3-12-2013 PS,Psychological_Science.2013.December.3-12-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,1-5-2015 CPS,Clinical_Psychological_Science.2015.May.1-5-2015_CPS.txt
12-8-2012 PS,Psychological_Science.2012.August.12-8-2012_PS.txt,0,0,0,1,,,,,,,,,,,,,,,,2-5-2015 CPS,Clinical_Psychological_Science.2015.May.2-5-2015_CPS.txt
4-12-2013 PS,Psychological_Science.2013.December.4-12-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,3-5-2015 CPS,Clinical_Psychological_Science.2015.May.3-5-2015_CPS.txt
6-12-2013 PS,Psychological_Science.2013.December.6-12-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,4-5-2015 CPS,Clinical_Psychological_Science.2015.May.4-5-2015_CPS.txt
7-12-2013 PS,Psychological_Science.2013.December.7-12-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,5-5-2015 CPS,Clinical_Psychological_Science.2015.May.5-5-2015_CPS.txt
9-12-2013 PS,Psychological_Science.2013.December.9-12-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,6-5-2015 CPS,Clinical_Psychological_Science.2015.May.6-5-2015_CPS.txt
11-12-2013 PS,Psychological_Science.2013.December.11-12-2013_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,7-5-2015 CPS,Clinical_Psychological_Science.2015.May.7-5-2015_CPS.txt
13-8-2012 PS,Psychological_Science.2012.August.13-8-2012_PS.txt,0,0,0,0,,,,,,,,,,,,,,,,8-5-2015 CPS,Clinical_Psychological_Science.2015.May.8-5-2015_CPS.txt
